baseline config=10ms tasks=9ms
18:07:27 tasks=7ms(ok=True) config=11ms(ok=True)
18:07:29 tasks=3ms(ok=True) config=2ms(ok=True)
18:07:31 tasks=8ms(ok=True) config=4ms(ok=True)
18:07:33 tasks=3ms(ok=True) config=3ms(ok=True)
18:07:35 tasks=3ms(ok=True) config=9ms(ok=True)
18:07:37 tasks=8ms(ok=True) config=9ms(ok=True)
18:07:39 tasks=3ms(ok=True) config=3ms(ok=True)
18:07:41 tasks=6ms(ok=True) config=8ms(ok=True)
18:07:43 tasks=2ms(ok=True) config=2ms(ok=True)
18:07:45 tasks=3ms(ok=True) config=3ms(ok=True)
18:07:47 tasks=2ms(ok=True) config=2ms(ok=True)
18:07:49 tasks=2ms(ok=True) config=1ms(ok=True)
18:07:51 tasks=3ms(ok=True) config=1ms(ok=True)
18:07:53 tasks=2ms(ok=True) config=1ms(ok=True)
18:07:55 tasks=2ms(ok=True) config=2ms(ok=True)
18:07:57 tasks=4ms(ok=True) config=3ms(ok=True)
18:07:59 tasks=2ms(ok=True) config=2ms(ok=True)
18:08:01 tasks=3ms(ok=True) config=3ms(ok=True)
18:08:03 tasks=2ms(ok=True) config=1ms(ok=True)
18:08:06 tasks=3ms(ok=True) config=5ms(ok=True)
18:08:08 tasks=4ms(ok=True) config=3ms(ok=True)
18:08:10 tasks=3ms(ok=True) config=1ms(ok=True)
18:08:12 tasks=2ms(ok=True) config=1ms(ok=True)
18:08:14 tasks=5ms(ok=True) config=2ms(ok=True)
18:08:16 tasks=2ms(ok=True) config=2ms(ok=True)
18:08:18 tasks=2ms(ok=True) config=2ms(ok=True)
18:08:20 tasks=2ms(ok=True) config=2ms(ok=True)
18:08:22 tasks=2ms(ok=True) config=1ms(ok=True)
18:08:24 tasks=2ms(ok=True) config=2ms(ok=True)
18:08:26 tasks=2ms(ok=True) config=2ms(ok=True)
18:08:28 tasks=6ms(ok=True) config=5ms(ok=True)
18:08:30 tasks=3ms(ok=True) config=4ms(ok=True)
18:08:32 tasks=6ms(ok=True) config=5ms(ok=True)
18:08:34 tasks=2ms(ok=True) config=3ms(ok=True)
18:08:36 tasks=2ms(ok=True) config=1ms(ok=True)
18:08:38 tasks=5ms(ok=True) config=1ms(ok=True)
18:08:40 tasks=2ms(ok=True) config=2ms(ok=True)
18:08:42 tasks=2ms(ok=True) config=2ms(ok=True)
18:08:44 tasks=4ms(ok=True) config=2ms(ok=True)
18:08:46 tasks=3ms(ok=True) config=2ms(ok=True)
18:08:48 tasks=5ms(ok=True) config=4ms(ok=True)
18:08:50 tasks=2ms(ok=True) config=2ms(ok=True)
18:08:52 tasks=2ms(ok=True) config=2ms(ok=True)
18:08:54 tasks=2ms(ok=True) config=2ms(ok=True)
18:08:56 tasks=5ms(ok=True) config=4ms(ok=True)
18:08:58 tasks=2ms(ok=True) config=2ms(ok=True)
18:09:00 tasks=5ms(ok=True) config=5ms(ok=True)
18:09:02 tasks=2ms(ok=True) config=3ms(ok=True)
18:09:04 tasks=2ms(ok=True) config=2ms(ok=True)
18:09:06 tasks=1ms(ok=True) config=1ms(ok=True)
18:09:08 tasks=2ms(ok=True) config=2ms(ok=True)
18:09:10 tasks=9ms(ok=True) config=2ms(ok=True)
18:09:12 tasks=2ms(ok=True) config=1ms(ok=True)
18:09:14 tasks=8ms(ok=True) config=6ms(ok=True)
18:09:16 tasks=5ms(ok=True) config=4ms(ok=True)
18:09:18 tasks=2ms(ok=True) config=1ms(ok=True)
18:09:20 tasks=2ms(ok=True) config=1ms(ok=True)
18:09:22 tasks=2ms(ok=True) config=1ms(ok=True)
18:09:24 tasks=2ms(ok=True) config=2ms(ok=True)
18:09:26 tasks=2ms(ok=True) config=2ms(ok=True)
18:09:28 tasks=2ms(ok=True) config=1ms(ok=True)
18:09:30 tasks=2ms(ok=True) config=1ms(ok=True)
18:09:32 tasks=6ms(ok=True) config=4ms(ok=True)
18:09:34 tasks=1ms(ok=True) config=1ms(ok=True)
18:09:36 tasks=5ms(ok=True) config=4ms(ok=True)
18:09:38 tasks=2ms(ok=True) config=1ms(ok=True)
18:09:40 tasks=1ms(ok=True) config=1ms(ok=True)
18:09:42 tasks=2ms(ok=True) config=2ms(ok=True)
18:09:44 tasks=2ms(ok=True) config=1ms(ok=True)
18:09:46 tasks=5ms(ok=True) config=3ms(ok=True)
18:09:48 tasks=1ms(ok=True) config=2ms(ok=True)
18:09:50 tasks=2ms(ok=True) config=2ms(ok=True)
18:09:52 tasks=2ms(ok=True) config=1ms(ok=True)
18:09:54 tasks=2ms(ok=True) config=1ms(ok=True)
18:09:56 tasks=2ms(ok=True) config=2ms(ok=True)
18:09:58 tasks=2ms(ok=True) config=2ms(ok=True)
18:10:00 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:02 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:04 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:06 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:08 tasks=2ms(ok=True) config=2ms(ok=True)
18:10:10 tasks=2ms(ok=True) config=3ms(ok=True)
18:10:12 tasks=2ms(ok=True) config=2ms(ok=True)
18:10:14 tasks=2ms(ok=True) config=2ms(ok=True)
18:10:16 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:18 tasks=2ms(ok=True) config=2ms(ok=True)
18:10:20 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:22 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:24 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:26 tasks=2ms(ok=True) config=2ms(ok=True)
18:10:28 tasks=1ms(ok=True) config=1ms(ok=True)
18:10:30 tasks=2ms(ok=True) config=2ms(ok=True)
18:10:32 tasks=1ms(ok=True) config=1ms(ok=True)
18:10:34 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:36 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:38 tasks=2ms(ok=True) config=3ms(ok=True)
18:10:40 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:42 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:44 tasks=3ms(ok=True) config=2ms(ok=True)
18:10:46 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:49 tasks=3ms(ok=True) config=2ms(ok=True)
18:10:51 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:53 tasks=2ms(ok=True) config=2ms(ok=True)
18:10:55 tasks=1ms(ok=True) config=1ms(ok=True)
18:10:57 tasks=2ms(ok=True) config=1ms(ok=True)
18:10:59 tasks=6ms(ok=True) config=5ms(ok=True)
18:11:01 tasks=2ms(ok=True) config=1ms(ok=True)
18:11:03 tasks=2ms(ok=True) config=1ms(ok=True)
18:11:05 tasks=6ms(ok=True) config=5ms(ok=True)
18:11:07 tasks=5ms(ok=True) config=5ms(ok=True)
18:11:09 tasks=2ms(ok=True) config=2ms(ok=True)
18:11:11 tasks=2ms(ok=True) config=2ms(ok=True)
18:11:13 tasks=6ms(ok=True) config=6ms(ok=True)
