baseline config=4ms
18:53:59 tasks=4ms(ok=True) config=3ms(ok=True)
18:54:01 tasks=3ms(ok=True) config=2ms(ok=True)
18:54:03 tasks=3ms(ok=True) config=2ms(ok=True)
18:54:05 tasks=2ms(ok=True) config=2ms(ok=True)
18:54:08 tasks=5ms(ok=True) config=2ms(ok=True)
18:54:10 tasks=2ms(ok=True) config=2ms(ok=True)
18:54:12 tasks=3ms(ok=True) config=2ms(ok=True)
18:54:14 tasks=2ms(ok=True) config=2ms(ok=True)
18:54:16 tasks=2ms(ok=True) config=2ms(ok=True)
18:54:18 tasks=2ms(ok=True) config=2ms(ok=True)
18:54:20 tasks=2ms(ok=True) config=2ms(ok=True)
18:54:22 tasks=3ms(ok=True) config=2ms(ok=True)
18:54:24 tasks=3ms(ok=True) config=3ms(ok=True)
18:54:26 tasks=2ms(ok=True) config=2ms(ok=True)
18:54:28 tasks=2ms(ok=True) config=1ms(ok=True)
18:54:30 tasks=3ms(ok=True) config=2ms(ok=True)
18:54:32 tasks=3ms(ok=True) config=2ms(ok=True)
18:54:34 tasks=2ms(ok=True) config=1ms(ok=True)
18:54:36 tasks=3ms(ok=True) config=2ms(ok=True)
18:54:38 tasks=2ms(ok=True) config=2ms(ok=True)
18:54:40 tasks=2ms(ok=True) config=4ms(ok=True)
18:54:42 tasks=3ms(ok=True) config=2ms(ok=True)
18:54:44 tasks=2ms(ok=True) config=2ms(ok=True)
18:54:46 tasks=2ms(ok=True) config=1ms(ok=True)
18:54:48 tasks=4ms(ok=True) config=3ms(ok=True)
18:54:50 tasks=6ms(ok=True) config=6ms(ok=True)
18:54:52 tasks=2ms(ok=True) config=2ms(ok=True)
18:54:54 tasks=3ms(ok=True) config=2ms(ok=True)
18:54:56 tasks=4ms(ok=True) config=3ms(ok=True)
18:54:58 tasks=2ms(ok=True) config=2ms(ok=True)
18:55:00 tasks=5ms(ok=True) config=5ms(ok=True)
18:55:02 tasks=2ms(ok=True) config=3ms(ok=True)
18:55:04 tasks=3ms(ok=True) config=2ms(ok=True)
18:55:06 tasks=2ms(ok=True) config=1ms(ok=True)
18:55:08 tasks=2ms(ok=True) config=2ms(ok=True)
18:55:10 tasks=2ms(ok=True) config=2ms(ok=True)
18:55:12 tasks=2ms(ok=True) config=4ms(ok=True)
18:55:14 tasks=2ms(ok=True) config=2ms(ok=True)
18:55:16 tasks=2ms(ok=True) config=2ms(ok=True)
18:55:18 tasks=2ms(ok=True) config=1ms(ok=True)
18:55:20 tasks=1ms(ok=True) config=1ms(ok=True)
18:55:22 tasks=4ms(ok=True) config=3ms(ok=True)
18:55:24 tasks=1ms(ok=True) config=1ms(ok=True)
18:55:26 tasks=1ms(ok=True) config=2ms(ok=True)
18:55:28 tasks=2ms(ok=True) config=2ms(ok=True)
18:55:30 tasks=2ms(ok=True) config=2ms(ok=True)
18:55:32 tasks=2ms(ok=True) config=1ms(ok=True)
18:55:34 tasks=2ms(ok=True) config=1ms(ok=True)
18:55:36 tasks=2ms(ok=True) config=1ms(ok=True)
18:55:38 tasks=2ms(ok=True) config=1ms(ok=True)
18:55:40 tasks=2ms(ok=True) config=1ms(ok=True)
18:55:42 tasks=2ms(ok=True) config=1ms(ok=True)
18:55:44 tasks=2ms(ok=True) config=8ms(ok=True)
18:55:46 tasks=2ms(ok=True) config=1ms(ok=True)
18:55:48 tasks=2ms(ok=True) config=2ms(ok=True)
18:55:50 tasks=2ms(ok=True) config=2ms(ok=True)
18:55:52 tasks=2ms(ok=True) config=2ms(ok=True)
18:55:54 tasks=2ms(ok=True) config=1ms(ok=True)
18:55:56 tasks=2ms(ok=True) config=2ms(ok=True)
18:55:58 tasks=2ms(ok=True) config=1ms(ok=True)
18:56:00 tasks=2ms(ok=True) config=1ms(ok=True)
18:56:02 tasks=2ms(ok=True) config=3ms(ok=True)
18:56:04 tasks=2ms(ok=True) config=1ms(ok=True)
18:56:06 tasks=3ms(ok=True) config=2ms(ok=True)
18:56:08 tasks=2ms(ok=True) config=1ms(ok=True)
18:56:10 tasks=2ms(ok=True) config=2ms(ok=True)
18:56:12 tasks=1ms(ok=True) config=1ms(ok=True)
18:56:14 tasks=3ms(ok=True) config=2ms(ok=True)
18:56:16 tasks=2ms(ok=True) config=1ms(ok=True)
18:56:18 tasks=3ms(ok=True) config=1ms(ok=True)
18:56:20 tasks=2ms(ok=True) config=2ms(ok=True)
18:56:22 tasks=3ms(ok=True) config=2ms(ok=True)
18:56:24 tasks=2ms(ok=True) config=2ms(ok=True)
18:56:26 tasks=2ms(ok=True) config=2ms(ok=True)
18:56:28 tasks=3ms(ok=True) config=2ms(ok=True)
18:56:30 tasks=2ms(ok=True) config=1ms(ok=True)
18:56:32 tasks=2ms(ok=True) config=3ms(ok=True)
18:56:34 tasks=2ms(ok=True) config=3ms(ok=True)
18:56:36 tasks=2ms(ok=True) config=2ms(ok=True)
18:56:38 tasks=2ms(ok=True) config=3ms(ok=True)
18:56:40 tasks=2ms(ok=True) config=2ms(ok=True)
18:56:42 tasks=2ms(ok=True) config=1ms(ok=True)
18:56:44 tasks=2ms(ok=True) config=1ms(ok=True)
18:56:46 tasks=5ms(ok=True) config=5ms(ok=True)
18:56:48 tasks=2ms(ok=True) config=1ms(ok=True)
18:56:51 tasks=4ms(ok=True) config=2ms(ok=True)
18:56:53 tasks=2ms(ok=True) config=1ms(ok=True)
18:56:55 tasks=1ms(ok=True) config=1ms(ok=True)
18:56:57 tasks=2ms(ok=True) config=1ms(ok=True)
18:56:59 tasks=2ms(ok=True) config=2ms(ok=True)
18:57:01 tasks=2ms(ok=True) config=1ms(ok=True)
18:57:03 tasks=2ms(ok=True) config=1ms(ok=True)
18:57:05 tasks=2ms(ok=True) config=1ms(ok=True)
18:57:07 tasks=2ms(ok=True) config=1ms(ok=True)
18:57:09 tasks=2ms(ok=True) config=1ms(ok=True)
18:57:11 tasks=2ms(ok=True) config=2ms(ok=True)
18:57:13 tasks=3ms(ok=True) config=3ms(ok=True)
18:57:15 tasks=2ms(ok=True) config=1ms(ok=True)
18:57:17 tasks=2ms(ok=True) config=1ms(ok=True)
18:57:19 tasks=2ms(ok=True) config=2ms(ok=True)
